,id,geometry,version,sources,subtype,class,level,has_parts,height,is_underground,num_floors,num_floors_underground,min_height,min_floor,facade_color,facade_material,roof_material,roof_shape,roof_direction,roof_orientation,roof_color,roof_height,source_property,source_dataset,source_record_id,update_time,source_confidence,name
0,08b44a1129d08fff020042ca9c295a44,"POLYGON ((-80.212269 25.7647809, -80.2123155 25.7647795, -80.2123101 25.7646251, -80.2122795 25.764626, -80.2122801 25.7646438, -80.2122552 25.7646445, -80.2122562 25.7646713, -80.2122068 25.7646727, -80.2122097 25.7647543, -80.212268 25.7647526, -80.212269 25.7647809))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w640368257@1"", ""update_time"": ""2018-11-02T19:26:10.000Z"", ""confidence"": null}]",,,,False,4.7,False,,,,,,,,,,,,,,OpenStreetMap,w640368257@1,2018-11-02T19:26:10.000Z,,null
1,08b44a1129d08fff0200efd3961952f6,"POLYGON ((-80.2120538 25.764829, -80.2120947 25.7648292, -80.2120948 25.7648042, -80.2121521 25.7648044, -80.2121522 25.7647686, -80.2121405 25.7647685, -80.2121409 25.7646713, -80.2120962 25.7646711, -80.2120962 25.7646627, -80.2120545 25.7646626, -80.2120538 25.764829))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435578064@1"", ""update_time"": ""2016-08-04T01:11:01.000Z"", ""confidence"": null}]",,,,False,11.5,False,,,,,,,,,,,,,,OpenStreetMap,w435578064@1,2016-08-04T01:11:01.000Z,,null
2,08b44a1129d0efff0200a9f8c7d3cae0,"POLYGON ((-80.2119037 25.7647996, -80.2119273 25.7647998, -80.2119272 25.7648127, -80.2120231 25.7648135, -80.2120236 25.7647591, -80.2119906 25.7647589, -80.2119916 25.7646613, -80.2119051 25.7646606, -80.2119037 25.7647996))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435539809@1"", ""update_time"": ""2016-08-03T20:26:12.000Z"", ""confidence"": null}]",,,,False,9.6,False,,,,,,,,,,,,,,OpenStreetMap,w435539809@1,2016-08-03T20:26:12.000Z,,null
3,08b44a1129d0efff0200ec0b7b433f6c,"POLYGON ((-80.2117697 25.7647632, -80.2118557 25.7647628, -80.211855 25.7646386, -80.2118405 25.7646386, -80.2118398 25.7645148, -80.2118566 25.7645147, -80.2118564 25.7644758, -80.2117341 25.7644764, -80.2117354 25.7647083, -80.2117694 25.7647082, -80.2117697 25.7647632))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435748214@1"", ""update_time"": ""2016-08-05T03:12:44.000Z"", ""confidence"": null}]",,,,False,9.0,False,,,,,,,,,,,,,,OpenStreetMap,w435748214@1,2016-08-05T03:12:44.000Z,,null
4,08b44a1129d1dfff020006517ec2de6e,"POLYGON ((-80.2115011 25.764606, -80.2115037 25.7646926, -80.2116402 25.7646893, -80.2116376 25.7646027, -80.2115011 25.764606))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435586885@1"", ""update_time"": ""2016-08-04T03:09:46.000Z"", ""confidence"": null}]",,,,False,11.5,False,,,,,,,,,,,,,,OpenStreetMap,w435586885@1,2016-08-04T03:09:46.000Z,,null
5,08b44a1129d1dfff0200a7d6ce2020b2,"POLYGON ((-80.2115168 25.7647474, -80.2115174 25.7648228, -80.2116946 25.7648215, -80.211694 25.7647461, -80.2115168 25.7647474))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435884065@1"", ""update_time"": ""2016-08-05T22:20:14.000Z"", ""confidence"": null}]",,,,False,7.4,False,,,,,,,,,,,,,,OpenStreetMap,w435884065@1,2016-08-05T22:20:14.000Z,,null
6,08b44a1129d1dfff0200dbd437f4ee7b,"POLYGON ((-80.2111884 25.7647939, -80.2112816 25.7647954, -80.2112834 25.7647015, -80.2111903 25.7647001, -80.2111884 25.7647939))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435882886@1"", ""update_time"": ""2016-08-05T22:18:17.000Z"", ""confidence"": null}]",,,,False,10.0,False,,,,,,,,,,,,,,OpenStreetMap,w435882886@1,2016-08-05T22:18:17.000Z,,null
7,08b44a1129d09fff020018e93ae8d876,"POLYGON ((-80.2122378 25.7650602, -80.212239 25.7651333, -80.2122089 25.7651337, -80.2122139 25.7653378, -80.2123269 25.7653411, -80.2123254 25.7651759, -80.2123408 25.7651757, -80.212339 25.7650589, -80.2122378 25.7650602))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435527632@1"", ""update_time"": ""2016-08-03T19:43:03.000Z"", ""confidence"": null}]",,,,False,10.0,False,,,,,,,,,,,,,,OpenStreetMap,w435527632@1,2016-08-03T19:43:03.000Z,,null
8,08b44a1129d0bfff02005414f81c6618,"POLYGON ((-80.2120772 25.7650676, -80.2120815 25.765164, -80.2121618 25.765161, -80.2121575 25.7650647, -80.2120772 25.7650676))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435529430@1"", ""update_time"": ""2016-08-03T19:45:03.000Z"", ""confidence"": null}]",,,,False,9.7,False,,,,,,,,,,,,,,OpenStreetMap,w435529430@1,2016-08-03T19:45:03.000Z,,null
9,08b44a1129d0bfff0200bb77901d6b0b,"POLYGON ((-80.2119219 25.765063, -80.2119332 25.7651939, -80.2120376 25.7651906, -80.2120334 25.7651269, -80.2120312 25.7650601, -80.2119219 25.765063))",0,"[{""property"": """", ""dataset"": ""OpenStreetMap"", ""record_id"": ""w435529432@2"", ""update_time"": ""2021-07-03T20:17:24.000Z"", ""confidence"": null}]",,,,False,12.2,False,,,,,,,,,,,,,,OpenStreetMap,w435529432@2,2021-07-03T20:17:24.000Z,,null
