,attributes.OID,attributes.OBJECTID,attributes.BASENAME,attributes.PREDIR,attributes.PREDIRABRV,attributes.PREQUAL,attributes.PREQUALABRV,attributes.PRETYP,attributes.PRETYPEABRV,attributes.RTTYP,attributes.SUFDIR,attributes.SUFDIRABRV,attributes.SUFQUAL,attributes.SUFQUALABRV,attributes.SUFTYP,attributes.SUFTYPEABRV,attributes.NAME,attributes.MTFCC,geometry
0,1105045824656,187727,185,,,,,586.0,State Rte,S,,,,,,,State Rte 185,S1200,"LINESTRING (-74.09468299955961 40.68359399968782, -74.09414500033259 40.683952999836805, -74.09378999960703 40.684156000103116, -74.09311000008977 40.68453900005273, -74.09207700039512 40.68512799987065, -74.09187499983042 40.685241999915355, -74.09177199989828 40.68530200018323, -74.09171300034704 40.68533699991722, -74.09147499979736 40.68548299997157, -74.09124600036682 40.685614999876066, -74.09104499962703 40.68572399983747, -74.09091199955765 40.685795000191426, -74.09026399982746 40.68617199970048, -74.08940100001209 40.686606000335935, -74.08854200039468 40.687004999986705, -74.08729000041691 40.68751500033361, -74.08567600004088 40.688070999993954, -74.08432299978077 40.68860600030097, -74.0841910004346 40.68864999982569, -74.08329299956083 40.688946999774316, -74.0841849996885 40.68853800004948, -74.08474499955514 40.68829400029892, -74.08542099977277 40.68804699980058, -74.08620300029557 40.6877859996939, -74.086957000331 40.68753600016001, -74.08772999973465 40.687242999907674, -74.08821000013369 40.68704799992087, -74.08848899979294 40.68692299990862, -74.08883600012257 40.68677299972072, -74.08921600006417 40.68659200002996, -74.08962299976994 40.68639300027679, -74.09003100019895 40.68618000021801, -74.090323000277 40.68602299984761, -74.09074000002852 40.68579100025025, -74.09089400001429 40.685704000107904, -74.09110800027453 40.685579000299605, -74.09172000001973 40.68523099998527, -74.0918380000205 40.68515499973754, -74.09204800008278 40.68502300028433, -74.0929710001726 40.68450599990893, -74.09398200012598 40.683939999667764, -74.09433899960302 40.68372999999266, -74.09458800002338 40.683523999733325)"
1,110710494985,88780,Paterson Plank,,,,,,,M,,,,,531.0,Rd,Paterson Plank Rd,S1200,"LINESTRING (-74.06666899969511 40.816983000296105, -74.06723600013275 40.81794100002941, -74.06768800004438 40.81866800016967, -74.06782699996155 40.81887600030742, -74.0680420000467 40.819176999744066, -74.0681550000246 40.819324999923836, -74.06822500034481 40.81941300013141, -74.06827100037556 40.819471999757134, -74.06839100002617 40.81961699991636, -74.0685140000498 40.81975999973486, -74.0686400004465 40.81990199991507, -74.06965200022478 40.82101800007461, -74.06987599963246 40.82126599990168, -74.0699419997547 40.821328999871746, -74.07037399957484 40.82173999989141, -74.0704770004053 40.82182600033251, -74.07078299982875 40.822081999673415, -74.0712720004486 40.82244099992868, -74.07275600022997 40.82344900024426, -74.07469799977076 40.82482000025302, -74.07479499985513 40.824888999853925, -74.0758989996949 40.82565199993502, -74.0767509996396 40.82623999968331, -74.07852499984921 40.82740299983807, -74.07874699960706 40.82754800033215, -74.07905499957863 40.827704999895495, -74.07949700034281 40.82790399988163, -74.07972499994845 40.82800699993705, -74.0797919998956 40.828037999843204, -74.07985999966766 40.82806799984827, -74.08107499983552 40.828616000044335, -74.08151800042462 40.828940999828475, -74.08272600002148 40.82959100005585, -74.08338100032269 40.830000000139044, -74.0837839998305 40.830255999874666, -74.08463099975232 40.83079300000128, -74.0852209997562 40.83116900000113, -74.08535399982561 40.8312539999316, -74.08618700040205 40.831910000247106, -74.08642900025139 40.83207099966314, -74.08671499958334 40.8322230002728, -74.0870700003089 40.83236600009902, -74.08718900013457 40.832413999686345, -74.08732499967869 40.83246100009822, -74.08746899961875 40.83250500033791, -74.08756200040348 40.83254800004961, -74.08767100018342 40.832589000096526, -74.08785699995627 40.83265099968831, -74.08829299997436 40.8328129998388, -74.0884639996786 40.832878999837, -74.0885139999073 40.83289900019424, -74.08857099980871 40.83292100017241, -74.08866200004529 40.83295199982027)"
2,110460671088,62752,Nardone,,,,,,,M,,,,,472.0,Pl,Nardone Pl,S1200,"LINESTRING (-74.06071799960267 40.738666000320386, -74.06186900019642 40.739670999724865)"
3,1105319763456,190527,46,,,,,641.0,US Rte,U,,,,,,,US Rte 46,S1200,"LINESTRING (-74.12854299993457 40.89374100031213, -74.12837300005525 40.89372500032271, -74.12812500035814 40.893701999906774, -74.1280809999772 40.89369800024694, -74.12787000009001 40.89367900016186, -74.12731699989604 40.89362800004947, -74.12714000034406 40.89361200003272, -74.12673799976282 40.893573999807685, -74.12649300043876 40.89355299985265, -74.12588599981812 40.89349600013517, -74.12546700041679 40.89345400016894, -74.1249190002457 40.8933960001071, -74.12478199997835 40.89338300013307, -74.12441499955723 40.89335200023698, -74.1239760000644 40.89332000006616, -74.12342299987044 40.89328199967342, -74.12269099957634 40.89325000014777, -74.12132800016879 40.893201999811716, -74.12070499965463 40.89319000006179, -74.12038199961444 40.893188000216426, -74.12028799990311 40.893188000216426, -74.12027200000958 40.893188000216426, -74.12017800029825 40.893188000216426, -74.12007100016812 40.8931889997996, -74.12002299958925 40.8931889997996, -74.11996400003802 40.8931889997996, -74.11934100042217 40.89319399975233, -74.11844400027162 40.893217999927614, -74.11799800020779 40.89322900008995, -74.1172800001574 40.893248000304226, -74.11683300026864 40.893258000200426, -74.11493600003539 40.893323999748844, -74.11430599984855 40.89334100009515, -74.11331599981158 40.89336800031661, -74.11300799984 40.893376999935285, -74.11196599992451 40.8934029998831, -74.11191200039616 40.893404000142056, -74.11155699967058 40.89341299975583, -74.11107299997194 40.893410999917215, -74.11097199968958 40.89341000033744, -74.11092700038206 40.89341000033744, -74.11061199983946 40.89340200030317, -74.11031999976142 40.89338999991045, -74.1101420003845 40.893381999873796, -74.10966899965817 40.89335400007738, -74.10904199984438 40.89330099987252, -74.10847100010707 40.89324299967656, -74.10828000031137 40.89322100003379, -74.10750899965919 40.89311300019996, -74.10693000042428 40.893013000272006, -74.10681700044637 40.89299200013891, -74.10670399957016 40.89296999973366, -74.10651799979733 40.89293399967206, -74.10588000011288 40.89279499989168, -74.1055729999662 40.89272099969897, -74.10505499993234 40.89258700014878, -74.10418999956885 40.89233800003078, -74.10399799994823 40.89227700019986, -74.10350300037891 40.89210800019641, -74.10197699986642 40.89153900019393, -74.1018060001622 40.89147500012026, -74.10095800041546 40.8911550001813, -74.10035599981771 40.89092099980224, -74.09942100003231 40.89057199998337, -74.09892999976265 40.89038900019101, -74.09863500020985 40.89028000018175, -74.09822400030613 40.890121000201454, -74.09787500032665 40.889994000275806, -74.097532000195 40.88987299994346, -74.09727000025417 40.889776999769296, -74.09646099996718 40.889467000236536, -74.09598999978897 40.889269999680195, -74.09571699997751 40.88915699993059, -74.09534399970859 40.88898200018991, -74.09489000014716 40.888758999822564, -74.09462300018347 40.88861800011607, -74.09433799977812 40.88846399984776, -74.09394100011808 40.88823899977708, -74.09353500023722 40.88800499995145, -74.09319499958029 40.88779199973033, -74.09302999972383 40.8876819998514, -74.0929080004234 40.88760200000983, -74.09267900009456 40.887454000149866, -74.09255900044397 40.88737299968249, -74.09165700027054 40.88675899984944, -74.09157199988172 40.886701999711995, -74.09139600015463 40.88658300019616, -74.09086600042521 40.88623399990832, -74.09061000033218 40.88606599978095, -74.09015599987241 40.88576499981615, -74.08982799980934 40.88554400022937, -74.08954599977704 40.88536399989767, -74.08921900043723 40.885151000004576, -74.08891700031343 40.88497099996226, -74.08879799958942 40.88489499975212, -74.08832999978428 40.884607999949694, -74.08789899978906 40.88435500014238, -74.0873819995801 40.88405800010887, -74.0870150000573 40.88384500008742, -74.0861289997774 40.883383000200524, -74.08566400034532 40.88314100026634, -74.0850580004479 40.88284599969702, -74.0845089995536 40.88257999988664, -74.08436700016169 40.88251399980897, -74.08357399976822 40.88214500004544, -74.08321399991812 40.881978999909784, -74.08286699958848 40.88181800017013, -74.08254699992135 40.88166399969831, -74.08155299968641 40.88120800015156, -74.080473999961 40.88071199981812, -74.0796930001614 40.88034499975048, -74.0792989999761 40.88015600016364, -74.07888100039966 40.87994500005561, -74.0786360001773 40.87981699983288, -74.07840299965048 40.87969599990948, -74.07818300044076 40.87957700002163, -74.07762500022393 40.87927800001577, -74.07731800007727 40.879106999823314, -74.0769189998691 40.87888400013996, -74.07653700027767 40.878659000100036, -74.07642000010182 40.87859499979505, -74.0758560000372 40.87826300031865, -74.07549899966183 40.87805700002731, -74.07487500022106 40.877690999999054, -74.072976000338 40.87656599972475, -74.07149000000848 40.875698000017735, -74.0710749999068 40.875454999983404, -74.07101600035557 40.875421000284796, -74.07077100013316 40.875267999727, -74.07036500025231 40.87498499972561, -74.07003499964111 40.87471400025848, -74.06976100000473 40.87445699984675, -74.069350000101 40.87400200010977, -74.06927099955995 40.87390199983051, -74.06926300006235 40.87389099985168, -74.06915900030529 40.87375399990079, -74.06865299996699 40.873118999738075, -74.06806499961293 40.87235599989284, -74.06776099983932 40.871984000171686, -74.06721600004127 40.87129100027793, -74.06690600041989 40.87090599969348, -74.06587700002487 40.86961800020257, -74.06519900015743 40.868767000294774, -74.06486500024658 40.86834600012837, -74.06445599999267 40.867831999818804, -74.06423000003686 40.86754799999033, -74.06327699980982 40.86633300029851, -74.06279399993606 40.86572300025021, -74.06261800020897 40.865490000305684, -74.06240300012382 40.8652069999499, -74.06226900022952 40.86503000004645, -74.06204900012149 40.86474799977576, -74.06187099984625 40.86452599997543, -74.0616480002635 40.86424500029637, -74.06149699975245 40.86405400021593, -74.06116600021464 40.86367199976118, -74.06080600036454 40.863296000028775, -74.06049199964687 40.86299399974581, -74.06016500030704 40.86271799989816, -74.0599870000318 40.862591999747735, -74.05952800044749 40.86226899996037, -74.05909099970616 40.86199499991762, -74.05861899970306 40.86171799992472)"
4,1105319763454,190525,46,,,,,641.0,US Rte,U,,,,,,,US Rte 46,S1200,"LINESTRING (-74.0585719998474 40.861905999781314, -74.05882100026773 40.86205499975113, -74.05951699967851 40.86247299968751, -74.06017299980465 40.862961999842135, -74.06056799981484 40.86330300027096, -74.0608599998929 40.86357700033746, -74.06124599968226 40.863982999889046, -74.06154600015623 40.864315999663006, -74.0618740002193 40.864709999960624, -74.06220800013016 40.86512300008922, -74.06229400034388 40.865242000143425, -74.0623389996514 40.865293999717515, -74.06236499959067 40.86532499984914, -74.06275100027835 40.865795000067244, -74.06325900026647 40.86644500030712, -74.0633520001529 40.86657399987609, -74.06346299958267 40.86670999975518, -74.06397700031688 40.86735999984529, -74.06420300027268 40.8676520002315, -74.06425099995326 40.86770499991929, -74.06431200005264 40.867782000133474, -74.06443599990119 40.86793800022241, -74.06489899968346 40.86852399995571, -74.06514499973076 40.86883299981353, -74.06579400018418 40.86965899973441, -74.06580900025281 40.869681999676025, -74.06618900019438 40.87018599990605, -74.06674499986309 40.87088799977726, -74.06682600005395 40.87099100028858, -74.06698199968953 40.87119099997966, -74.0672679999198 40.87154800007314, -74.06783299980935 40.87224299979321, -74.06799099999309 40.8724439996746, -74.06822500034481 40.87274200008918, -74.06846800001905 40.87304499995834, -74.06869200032504 40.87334000005674, -74.06907700028952 40.87382999999779, -74.06911300027453 40.873877000246544, -74.06915699975714 40.87393399988193, -74.06921200000873 40.874007000153696, -74.06927300010808 40.87408600025475, -74.06930599972006 40.87412099983091, -74.0694709995765 40.874314999688266, -74.06962899976025 40.87448000015948, -74.06979000031704 40.87464199995036, -74.06995000015063 40.87478900007165, -74.0701040001364 40.874910999993766, -74.0702870004345 40.875058000196965, -74.07047800023021 40.87518899967789, -74.07061999962212 40.87530200018339, -74.07084499975302 40.87544599996498, -74.07093599998962 40.87549699982665, -74.07136899963466 40.87575199990421, -74.07187400014806 40.876044999803526, -74.07237399974024 40.87633799976449, -74.07290199981983 40.87665000001269, -74.07346400023462 40.87698200010742, -74.07371699995461 40.87713000029234, -74.07479700040328 40.87776599983567, -74.07542000001911 40.87813900016073, -74.07642699977451 40.878721000060594, -74.07723799971133 40.87918599995125, -74.07916699973164 40.88019300016478, -74.0798759995612 40.8805469999377, -74.08051900016683 40.88084499987515, -74.0814740000437 40.88128600004656, -74.08219799994188 40.88161400027075, -74.08278000044817 40.88187900013444, -74.08332400042129 40.88212500028848, -74.08354100015626 40.88222800029676, -74.08434600024529 40.88259599985435, -74.08445800039829 40.88264700032006, -74.08537100044236 40.88310300014016, -74.08634700023562 40.88360900021004, -74.08686400044456 40.88387999993712, -74.0877540000241 40.88438999972241, -74.0877670004429 40.884396999772015, -74.08877000000034 40.88500100000332, -74.08920199982047 40.88528899984132, -74.08968899989219 40.88559800023343, -74.0900570001382 40.885835000182844, -74.09046399984399 40.88609600000473, -74.09050700040001 40.88612400015608, -74.09112300034315 40.88652399986033, -74.09143100031473 40.886735000047764, -74.09173799956308 40.88692900028947, -74.09210800035726 40.8871750000092, -74.09260700012453 40.887514000004515, -74.09265200033038 40.88754499991943, -74.09283300008035 40.887665999754994, -74.0929770000204 40.88776099993114, -74.09308099977747 40.88782799987324, -74.0932950000377 40.88796200023306, -74.0934640000921 40.888068999985975, -74.09358200009288 40.88814400028725, -74.09384800023166 40.88830300026443, -74.0940199997608 40.888400999850774, -74.09430299961802 40.888561999874746, -74.09478700021499 40.88881800020299, -74.09502900006434 40.888944000022065, -74.09537399984583 40.88911299995783, -74.09563199958869 40.889227999747696, -74.09595999965175 40.88936900019166, -74.09650799982285 40.88960400026394, -74.09722000002546 40.88987699983452, -74.09758900009639 40.89001399969207, -74.09765699986846 40.89004000028236, -74.09866299979893 40.890416000259, -74.09869499958599 40.89042799983293, -74.09932499977286 40.89066199991822, -74.10006799993761 40.89093400026003, -74.100826000171 40.89121699998047, -74.10095699969223 40.89126499971942, -74.10112499992172 40.89132799970591, -74.10179799976628 40.891577999837125, -74.10218199990582 40.89172200020105, -74.10234199973941 40.8917820002602, -74.10302899982767 40.89203500019404, -74.10358299984652 40.89223300026464, -74.1039539995673 40.89235600022615, -74.10418899974394 40.89242899987434, -74.10446699957828 40.892515000268226, -74.10474899961059 40.89259500028155, -74.10488199967998 40.892630999848535, -74.10496000039609 40.89265399995777, -74.1052709998424 40.89273899979015, -74.10539499969097 40.89277100024203, -74.10555299987472 40.892811999694835, -74.10583099970907 40.89287700010035, -74.10611299974137 40.89293900032314, -74.10654100026186 40.8930300000192, -74.10661499988169 40.893044000326945, -74.10673000040775 40.89306499976445, -74.10674600030127 40.893067999877616, -74.10687500017269 40.893092000098605, -74.10720900008353 40.89315299985717, -74.10757099958349 40.89320800002541, -74.10788699995096 40.89325599967805, -74.10834800008341 40.89331800022473, -74.10849200002347 40.89333499989351, -74.10851299993986 40.893336999734416, -74.10872899984993 40.89336200011747, -74.1091339999059 40.8934029998831, -74.10948200006042 40.893428999820706, -74.10978500000911 40.893451000073334, -74.10990100036007 40.893459000101636, -74.11013700036165 40.89347200006074, -74.1101830003924 40.893473999897516, -74.11034900007375 40.893483000180844, -74.11097500006262 40.893499000228736, -74.11141799975343 40.89350400015804, -74.1118110001138 40.893497999971224, -74.11267099955612 40.89347599973422, -74.11304700019807 40.89346400003401, -74.11333400025325 40.89344999981509, -74.11359899966881 40.89343899968951, -74.11429199960484 40.89342200004746, -74.1149209999668 40.893410999917215, -74.11729199985295 40.89334199967596, -74.11845099994432 40.893310999760665, -74.11940499999626 40.89328999972216, -74.11986600012874 40.893289000140555, -74.11997099971072 40.89328999972216, -74.120188000344 40.89328999972216, -74.12028700007819 40.89328999972216, -74.12052300007974 40.89329099998287, -74.12071499970038 40.893292000243505, -74.12092800013569 40.893292000243505, -74.12132399997083 40.89330000029104, -74.12136599980363 40.89330099987252, -74.12178500010329 40.893313000281374, -74.12235099981771 40.89332899969136, -74.12247200019155 40.89333499989351, -74.12281699997303 40.89335200023698, -74.12320299976241 40.89337099973696, -74.12347399992406 40.89338399971329, -74.12382399972843 40.89341299975583, -74.12409700043823 40.893431000337856, -74.12442200012823 40.89345700026446, -74.12471000000832 40.8934800000865, -74.12499299986554 40.8935029999006, -74.12558500041756 40.893543000001095, -74.12567800030398 40.89355200027504, -74.1259960003213 40.893583000077406, -74.12620200018561 40.89360299976694, -74.12672100004438 40.893655999729866, -74.12674299978569 40.89365800024015, -74.12708400026754 40.89369200007768, -74.12728400028409 40.89371299998858, -74.12774000039367 40.8937590001258, -74.12781400001352 40.8937670001169, -74.12792799981632 40.89377699993461, -74.12797499967199 40.8937819998429, -74.12811399958916 40.893794999738525, -74.12853100023901 40.89383299983662)"
5,1105046458253,187813,3,,,,,586.0,State Rte,S,,,,,,,State Rte 3,S1200,"LINESTRING (-74.05574599967656 40.792521999749525, -74.05454300010257 40.79176200011135, -74.05402800044176 40.79141699982544, -74.05293299992448 40.79067099996621, -74.05269799974785 40.79051600003601, -74.05246099992138 40.79035799973913, -74.05128199973853 40.78950700015028, -74.0511520000422 40.78941499989071, -74.05016799985302 40.788604000005854, -74.0498549998586 40.7883020001436, -74.04968599980417 40.78813600019289, -74.04963499975055 40.788084999743674, -74.04946400004633 40.78789900029395, -74.0493419998476 40.787766000005924, -74.0492859997711 40.78769699988451, -74.04919000040995 40.78760000007559, -74.04904700029482 40.78743299991139, -74.04897600014971 40.78735200024251, -74.04885300012604 40.787212999925586, -74.0485819999644 40.78687199979949, -74.04837299972704 40.78656499970208, -74.04826899996995 40.78641600007597, -74.04819600017501 40.78629299994095, -74.04808800021999 40.786096999802595, -74.04802399974756 40.78595100001066, -74.04789599970105 40.78564299989073, -74.04766200024764 40.784976999866394, -74.04761399966876 40.78484700010182, -74.04744600033757 40.78434500016061, -74.04734900025319 40.784027000012415, -74.04724899979577 40.7837019998962, -74.04718000019881 40.783485000109344, -74.04715500008442 40.78340500026609, -74.04708700031237 40.78319199972045, -74.04687999972481 40.78253400010715, -74.04672900011208 40.78208200012503, -74.04661899960891 40.78171900023431, -74.04654900018701 40.78149099973828, -74.04645899977534 40.781208999796405, -74.04641500029273 40.78107700030957, -74.04631800020833 40.78079699980819, -74.04627499965233 40.780670999707695, -74.04623299981954 40.7805489997389, -74.04590300010665 40.779602000300564)"
6,1105046692126,187824,1,,,,,640.0,US Hwy,U,,,,,,,US Hwy 1,S1200,"LINESTRING (-74.0610010003582 40.74861499998992, -74.06091500014448 40.748775000334305, -74.0607960003188 40.748974999883146, -74.0603960002857 40.74965099992154, -74.05988999994743 40.75023699989078, -74.05939799985282 40.75068299991818, -74.05840600016604 40.7516230000299, -74.05769599961324 40.752505000233135, -74.05678599994222 40.75363499968513, -74.05666200009367 40.75378900028897, -74.05495599965612 40.756060999719175, -74.05482199976183 40.75623999987831, -74.05477699955598 40.75629800025229, -74.0545940001562 40.75654399977415, -74.05415300011524 40.75711800033542, -74.05375300008215 40.75746599994581, -74.05207699978183 40.759068000161314, -74.05159899993095 40.75960099980796, -74.05113600014869 40.76018500008012, -74.05093000028435 40.760474999883975, -74.0507789997733 40.76068499979678, -74.0505879999776 40.7609500001493, -74.0499489995699 40.76187199976783, -74.04931300043359 40.76276500013667, -74.04782299990612 40.76485000013616, -74.04706999969562 40.7659539996947, -74.04695000004503 40.7661099999358, -74.046441000232 40.76677899969562, -74.04426899963913 40.7696350003369, -74.04383500016918 40.77020900010551, -74.04289199998787 40.771471999842895, -74.04276399994134 40.771666000166306, -74.04275300007072 40.77168199970482, -74.04250000035071 40.77209799995955, -74.04236800010624 40.77236599984311, -74.0422590003263 40.77270500021112, -74.04220099970166 40.77308899975485, -74.04208600007392 40.77343400001391, -74.04187799966148 40.77386999996947, -74.04164300038315 40.7742339999128, -74.04098700025702 40.77505399981207)"
7,1105046692220,187835,Tonnele,,,,,,,M,,,,,125.0,Ave,Tonnele Ave,S1200,"LINESTRING (-74.060931000038 40.74855800012299, -74.06086599974067 40.74867600005602, -74.06074799973992 40.74888799992875, -74.06063399993708 40.749106000139484, -74.0605290003551 40.749280999757204, -74.06045300018711 40.74941299980195, -74.06038700006488 40.749508999855486, -74.06032000011774 40.749604999770426, -74.06023499972892 40.74971599990337, -74.06010300038274 40.74986199970413, -74.05993199978022 40.75004300030325, -74.05974299963432 40.75024599989648, -74.05949699958703 40.75049899993674, -74.05937299973847 40.7506160001355, -74.0584170000367 40.75146299973312, -74.05761100012275 40.75247199973947, -74.05747999970318 40.7526320003303, -74.0572629999682 40.75289999977684, -74.05685999956208 40.753409000106224, -74.05659400032162 40.75375900004906, -74.0547210003778 40.75627499975806, -74.05427899961362 40.75685500023464, -74.05419900014599 40.756945000124915, -74.05405699985576 40.75708399981431, -74.05382599987709 40.75729699968989, -74.05356999978405 40.757538999883224, -74.05333799998046 40.757767000243504, -74.05292200005385 40.75815500004973, -74.05246799959409 40.75858199999341, -74.0520330002992 40.758994999861635, -74.05176799998536 40.759244000339805, -74.0516449999617 40.759364999724404, -74.0515739998166 40.7594359998175, -74.0514979996486 40.75952600029608, -74.05142200037895 40.75961499973473, -74.05135100023385 40.75972499993129, -74.05124199955557 40.759874999782284, -74.05110500018655 40.76006799970954, -74.051053000308 40.76014700020918, -74.05053500027414 40.7608840000448, -74.0498849999958 40.7618110002413, -74.04948900016068 40.762372999918405, -74.04910800039418 40.76291399974342, -74.04892599992098 40.76316800007023, -74.04843200017658 40.76387399981754, -74.04776500017981 40.76483199999512, -74.04715500008442 40.76569800019779, -74.04686700020434 40.76607599993192, -74.04652700044572 40.76652400010857, -74.04547499958615 40.76790099986151, -74.04371299997044 40.770196999845844, -74.04290399968345 40.77128400000604, -74.04266699985699 40.771648999887105, -74.0421189996859 40.772450000233995, -74.04161999991862 40.77349999990069, -74.04098700025702 40.77505399981207)"
8,1105046692226,187840,9,,,,,640.0,US Hwy,U,,,,,,,US Hwy 9,S1200,"LINESTRING (-74.060931000038 40.74855800012299, -74.06086599974067 40.74867600005602, -74.06074799973992 40.74888799992875, -74.06063399993708 40.749106000139484, -74.0605290003551 40.749280999757204, -74.06045300018711 40.74941299980195, -74.06038700006488 40.749508999855486, -74.06032000011774 40.749604999770426, -74.06023499972892 40.74971599990337, -74.06010300038274 40.74986199970413, -74.05993199978022 40.75004300030325, -74.05974299963432 40.75024599989648, -74.05949699958703 40.75049899993674, -74.05937299973847 40.7506160001355, -74.0584170000367 40.75146299973312, -74.05761100012275 40.75247199973947, -74.05747999970318 40.7526320003303, -74.0572629999682 40.75289999977684, -74.05685999956208 40.753409000106224, -74.05659400032162 40.75375900004906, -74.0547210003778 40.75627499975806, -74.05427899961362 40.75685500023464, -74.05419900014599 40.756945000124915, -74.05405699985576 40.75708399981431, -74.05382599987709 40.75729699968989, -74.05356999978405 40.757538999883224, -74.05333799998046 40.757767000243504, -74.05292200005385 40.75815500004973, -74.05246799959409 40.75858199999341, -74.0520330002992 40.758994999861635, -74.05176799998536 40.759244000339805, -74.0516449999617 40.759364999724404, -74.0515739998166 40.7594359998175, -74.0514979996486 40.75952600029608, -74.05142200037895 40.75961499973473, -74.05135100023385 40.75972499993129, -74.05124199955557 40.759874999782284, -74.05110500018655 40.76006799970954, -74.051053000308 40.76014700020918, -74.05053500027414 40.7608840000448, -74.0498849999958 40.7618110002413, -74.04948900016068 40.762372999918405, -74.04910800039418 40.76291399974342, -74.04892599992098 40.76316800007023, -74.04843200017658 40.76387399981754, -74.04776500017981 40.76483199999512, -74.04715500008442 40.76569800019779, -74.04686700020434 40.76607599993192, -74.04652700044572 40.76652400010857, -74.04547499958615 40.76790099986151, -74.04371299997044 40.770196999845844, -74.04290399968345 40.77128400000604, -74.04266699985699 40.771648999887105, -74.0421189996859 40.772450000233995, -74.04161999991862 40.77349999990069, -74.04098700025702 40.77505399981207)"
9,11015503587441,238590,West,,,,,,,M,,,,,595.0,St,West St,S1200,"LINESTRING (-74.01637500032354 40.704838000092295, -74.01639899971467 40.70487400015971, -74.01643399987478 40.70493300007681, -74.0164580001642 40.70499100024445, -74.01647499988265 40.70507000010981, -74.01626599964528 40.70563899971626, -74.01611300038272 40.70604100020468, -74.01606499980382 40.70623399972775, -74.01602600034407 40.7063919998207, -74.01595600002388 40.70667999990501, -74.01583399982515 40.70698400023182, -74.01576500022817 40.70714799993937, -74.01574900033464 40.707186000129525, -74.01569300025815 40.70730399990093, -74.01561100024239 40.70748600018863, -74.0155910001509 40.707530999842646, -74.01552800040172 40.70767199996883, -74.0155130003331 40.70770700020985, -74.01520199998848 40.70845600014197, -74.01485600038207 40.70939399982198, -74.0146970003734 40.70977899967745, -74.0145349999917 40.71037499976819, -74.01435800043969 40.71100599984088, -74.01414699965419 40.71221299992148, -74.01369999976542 40.713667999873245, -74.0133819997481 40.714408000077896, -74.01323199996028 40.71506100029048, -74.01319500015038 40.71520299967658, -74.01310200026396 40.71561899996124, -74.01302500027106 40.715951999721874, -74.01292099961566 40.716398000175914, -74.01273099964487 40.71711400006038, -74.01268799998715 40.71729799979494, -74.01229200015203 40.71903899967515, -74.01200900029482 40.720303000127515, -74.01187600022543 40.720951999835414, -74.01174300015605 40.721623000126975, -74.01163000017814 40.722310000309776, -74.01149600028383 40.72297000002066, -74.0113590000165 40.72361800017761, -74.01123500016793 40.724266000152895, -74.01105600006777 40.72514800028784, -74.01094300008987 40.725662000267654, -74.01092299999839 40.72579400021256, -74.0109160003257 40.725831999972804, -74.01087000029494 40.72608500029578, -74.01085600005123 40.726164000323365, -74.01064299961591 40.72817200012156, -74.01054399988169 40.72910000029716, -74.0104879998052 40.72981799971173, -74.01039699956861 40.73055800010117, -74.0103399996672 40.73128899990221, -74.01027199989515 40.732010000119644, -74.0102550001767 40.732397999783686, -74.0101630001152 40.73316500021857, -74.01011100023666 40.733847999921714, -74.01007400042673 40.73424799970345, -74.0100429995663 40.73458899967079, -74.00998900003793 40.73529699984812, -74.0099299995884 40.736004000066345, -74.00984400027298 40.73696800033128, -74.00981400013573 40.73756599977499, -74.00985400031871 40.73814699996945, -74.00993499961125 40.73872199994572, -74.0099379999843 40.738888000162525, -74.0099239997406 40.73905399996515, -74.00989199995354 40.739218000306344, -74.00984400027298 40.73937999983971)"
