,State_name,County_name,pct_Female_No_SP_CEN_2020,pct_Females_CEN_2020,pct_Males_CEN_2020,pct_MrdCple_HHD_CEN_2020,pct_NH_AIAN_alone_CEN_2020,pct_NH_Asian_alone_CEN_2020,pct_NH_Blk_alone_CEN_2020,pct_NH_Multi_Races_CEN_2020,pct_NH_NHOPI_alone_CEN_2020,pct_NH_SOR_alone_CEN_2020,pct_NH_White_alone_CEN_2020,pct_NonFamily_HHD_CEN_2020,pct_Not_MrdCple_HHD_CEN_2020,pct_Owner_Occp_HU_CEN_2020,pct_Pop_18_24_CEN_2020,pct_Pop_25_44_CEN_2020,pct_Pop_45_64_CEN_2020,pct_Pop_5_17_CEN_2020,pct_Pop_65plus_CEN_2020,pct_Pop_under_5_CEN_2020,pct_Rel_Family_HHD_CEN_2020,pct_Renter_Occp_HU_CEN_2020,pct_RURAL_POP_CEN_2020,pct_URBAN_POP_CEN_2020,pct_Sngl_Prns_HHD_CEN_2020,pct_Tot_Occp_Units_CEN_2020,pct_Vacant_Units_CEN_2020,state,county,tract
0,West Virginia,Barbour County,10.67,48.76,51.24,53.98,0.08,0.08,0.35,2.38,0.00,0.03,96.48,29.16,46.02,85.25,6.36,20.23,30.58,15.94,21.51,5.38,70.84,14.75,100.00,0.00,24.34,86.38,13.62,54,001,965500
1,West Virginia,Barbour County,12.07,49.77,50.23,37.36,0.23,0.65,6.69,4.23,0.00,0.26,84.77,45.84,62.64,56.76,23.83,19.25,21.83,11.18,19.34,4.58,54.16,43.24,100.00,0.00,39.11,87.91,12.09,54,001,965600
2,West Virginia,Barbour County,9.65,50.14,49.86,55.48,0.29,0.06,0.29,3.98,0.00,0.00,94.61,29.15,44.52,88.39,5.55,20.91,30.07,16.40,22.32,4.75,70.85,11.61,100.00,0.00,24.02,84.43,15.57,54,001,965700
3,West Virginia,Barbour County,15.88,51.52,48.48,43.99,0.34,0.11,0.11,3.72,0.00,0.00,95.02,32.90,56.01,72.60,7.27,22.31,27.43,16.55,20.65,5.78,67.10,27.40,100.00,0.00,25.61,89.33,10.67,54,001,965800
4,West Virginia,Berkeley County,13.27,49.97,50.03,50.15,0.24,1.91,8.01,6.78,0.01,0.52,76.36,29.92,49.85,80.42,7.05,29.10,24.92,20.05,12.04,6.84,70.08,19.58,15.11,84.89,23.08,93.59,6.41,54,003,971101
5,West Virginia,Berkeley County,12.00,49.57,50.43,48.93,0.00,1.17,2.94,4.46,0.20,0.20,85.96,33.97,51.07,76.25,6.54,20.68,31.68,13.84,23.06,4.21,66.03,23.75,20.07,79.93,27.32,88.91,11.09,54,003,971103
6,West Virginia,Berkeley County,8.87,48.62,51.38,59.61,0.05,0.91,1.68,5.59,0.03,0.18,89.21,24.46,40.39,84.42,7.06,22.33,29.68,18.01,17.49,5.43,75.54,15.58,34.59,65.41,18.80,95.98,4.02,54,003,971104
7,West Virginia,Berkeley County,11.83,50.77,49.23,50.82,0.31,1.73,7.08,4.79,0.02,0.45,80.43,33.20,49.18,86.71,7.63,25.33,26.20,17.25,17.98,5.61,66.80,13.29,45.72,54.28,27.81,95.05,4.95,54,003,971105
8,West Virginia,Berkeley County,9.29,50.29,49.71,57.43,0.23,0.06,1.12,4.30,0.00,0.63,91.12,27.57,42.57,85.45,6.72,24.80,29.24,17.45,16.52,5.28,72.43,14.55,100.00,0.00,20.41,92.92,7.08,54,003,971203
9,West Virginia,Berkeley County,5.06,48.32,51.68,54.11,0.36,0.55,1.23,4.45,0.06,0.52,91.22,34.82,45.89,88.56,5.55,20.85,31.41,12.62,25.44,4.13,65.18,11.44,100.00,0.00,28.23,69.52,30.48,54,003,971204
10,West Virginia,Berkeley County,12.32,50.21,49.79,56.61,0.20,1.33,5.29,5.84,0.02,0.44,82.85,23.75,43.39,85.24,7.32,28.02,24.43,22.33,11.82,6.09,76.25,14.76,55.17,44.83,18.49,93.74,6.26,54,003,971205
11,West Virginia,Berkeley County,9.30,50.44,49.56,61.18,0.10,1.76,5.05,5.69,0.05,0.21,80.28,24.10,38.82,90.17,7.27,25.61,25.97,19.09,16.10,5.96,75.90,9.83,26.54,73.46,19.90,97.61,2.39,54,003,971206
12,West Virginia,Berkeley County,16.67,53.26,46.74,30.64,0.36,1.09,15.60,6.53,0.00,0.41,67.57,47.00,69.36,38.56,8.48,28.14,24.10,15.40,17.34,6.54,53.00,61.44,19.19,80.81,37.76,94.37,5.63,54,003,971301
13,West Virginia,Berkeley County,13.14,50.37,49.63,50.20,0.16,1.15,5.64,6.17,0.04,0.47,80.44,29.86,49.80,81.44,7.68,26.49,25.98,17.01,17.21,5.62,70.14,18.56,15.35,84.65,23.86,95.64,4.36,54,003,971302
